# strike lower_MF mid_MF upper_MF
0.90000000 0.08855796 0.09999996 0.10078074
0.90408163 0.08509352 0.09591833 0.09669911
0.90816327 0.08162907 0.09183671 0.09261748
0.91224490 0.07816463 0.08775508 0.08853584
0.91632653 0.07470018 0.08367347 0.08445421
0.92040816 0.07123573 0.07959187 0.08037258
0.92448980 0.06777129 0.07551031 0.07629095
0.92857143 0.06430684 0.07142882 0.07220931
0.93265306 0.06084240 0.06734748 0.06812768
0.93673469 0.05737795 0.06326644 0.06404605
0.94081633 0.05351160 0.05918597 0.05996442
0.94489796 0.04942997 0.05510659 0.05588278
0.94897959 0.04577238 0.05102926 0.05180115
0.95306122 0.04231271 0.04695570 0.04771952
0.95714286 0.03885305 0.04288893 0.04363788
0.96122449 0.03539339 0.03883410 0.03955625
0.96530612 0.03193372 0.03479974 0.03547462
0.96938776 0.02847406 0.03079953 0.03139299
0.97346939 0.02501439 0.02685458 0.02731135
0.97755102 0.02155473 0.02299602 0.02322972
0.98163265 0.01809506 0.01926771 0.01958734
0.98571429 0.01463540 0.01572784 0.01613866
0.98979592 0.01080964 0.01244739 0.01281129
0.99387755 0.00772548 0.00950630 0.01019052
0.99795918 0.00511237 0.00697808 0.00758806
1.00204082 0.00309148 0.00491288 0.00550629
1.00612245 0.00147365 0.00331705 0.00401170
1.01020408 0.00044510 0.00214989 0.00252426
1.01428571 0.00013064 0.00134031 0.00175836
1.01836735 0.00000000 0.00080481 0.00111729
1.02244898 0.00000000 0.00046648 0.00071339
1.02653061 0.00000000 0.00026145 0.00067353
1.03061224 0.00000000 0.00014195 0.00063366
1.03469388 0.00000000 0.00007480 0.00059379
1.03877551 0.00000000 0.00003833 0.00055392
1.04285714 0.00000000 0.00001913 0.00051406
1.04693878 0.00000000 0.00000932 0.00047419
1.05102041 0.00000000 0.00000443 0.00043432
1.05510204 0.00000000 0.00000206 0.00039445
1.05918367 0.00000000 0.00000094 0.00035459
1.06326531 0.00000000 0.00000042 0.00031841
1.06734694 0.00000000 0.00000018 0.00028303
1.07142857 0.00000000 0.00000008 0.00024766
1.07551020 0.00000000 0.00000003 0.00021228
1.07959184 0.00000000 0.00000001 0.00017690
1.08367347 0.00000000 0.00000000 0.00014152
1.08775510 0.00000000 0.00000000 0.00010614
1.09183673 0.00000000 0.00000000 0.00007076
1.09591837 0.00000000 0.00000000 0.00003538
1.10000000 0.00000000 0.00000000 -0.00000000
