# strike lower_MF mid_MF upper_MF
0.90000000 0.08855796 0.09999996 0.10078074
0.90833333 0.08148472 0.09166664 0.09244741
0.91666667 0.07441148 0.08333333 0.08411408
0.92500000 0.06733823 0.07500012 0.07578074
0.93333333 0.06026499 0.06666728 0.06744741
0.94166667 0.05266126 0.05833598 0.05911408
0.95000000 0.04490746 0.05001043 0.05078074
0.95833333 0.03784398 0.04170474 0.04244741
0.96666667 0.03078050 0.03346167 0.03411408
0.97500000 0.02371702 0.02539545 0.02578074
0.98333333 0.01665354 0.01776605 0.01814582
0.99166667 0.00936865 0.01105260 0.01161010
1.00000000 0.00407392 0.00588570 0.00628828
1.00833333 0.00094411 0.00263578 0.00320600
1.01666667 0.00000000 0.00099980 0.00138257
1.02500000 0.00000000 0.00032611 0.00068848
1.03333333 0.00000000 0.00009290 0.00060708
1.04166667 0.00000000 0.00002349 0.00052568
1.05000000 0.00000000 0.00000535 0.00044429
1.05833333 0.00000000 0.00000111 0.00036289
1.06666667 0.00000000 0.00000021 0.00028893
1.07500000 0.00000000 0.00000003 0.00021670
1.08333333 0.00000000 0.00000000 0.00014447
1.09166667 0.00000000 0.00000000 0.00007223
1.10000000 0.00000000 0.00000000 -0.00000000
