# strike lower_MF mid_MF upper_MF
0.90000000 0.08778817 0.10008605 0.10088999
0.90408163 0.08370654 0.09600442 0.09680836
0.90816327 0.07993276 0.09192279 0.09272673
0.91224490 0.07649110 0.08784116 0.08864509
0.91632653 0.07305162 0.08375953 0.08456346
0.92040816 0.06961454 0.07967790 0.08048183
0.92448980 0.06618403 0.07559627 0.07640020
0.92857143 0.06275519 0.07151465 0.07231856
0.93265306 0.05932634 0.06743302 0.06823693
0.93673469 0.05589750 0.06335139 0.06415530
0.94081633 0.05246866 0.05926977 0.06007366
0.94489796 0.04903982 0.05518817 0.05599203
0.94897959 0.04561098 0.05110661 0.05191040
0.95306122 0.04218214 0.04702519 0.04782877
0.95714286 0.03875330 0.04294414 0.04374713
0.96122449 0.03532446 0.03886407 0.03966550
0.96530612 0.03189562 0.03478651 0.03558387
0.96938776 0.02846678 0.03071512 0.03150224
0.97346939 0.02503794 0.02665822 0.02742060
0.97755102 0.02160910 0.02263359 0.02333897
0.98163265 0.01818026 0.01867701 0.01925734
0.98571429 0.01474634 0.01485360 0.01517571
0.98979592 0.01076818 0.01126923 0.01166283
0.99387755 0.00787204 0.00807260 0.00843403
0.99795918 0.00499070 0.00542141 0.00582366
1.00204082 0.00296617 0.00340971 0.00378851
1.00612245 0.00182618 0.00201860 0.00229596
1.01020408 0.00067999 0.00113425 0.00135083
1.01428571 0.00052760 0.00060982 0.00070192
1.01836735 0.00003488 0.00031584 0.00058301
1.02244898 0.00000000 0.00015840 0.00057133
1.02653061 0.00000000 0.00007730 0.00055966
1.03061224 0.00000000 0.00003686 0.00054799
1.03469388 0.00000000 0.00001723 0.00053631
1.03877551 0.00000000 0.00000792 0.00052464
1.04285714 0.00000000 0.00000359 0.00051297
1.04693878 0.00000000 0.00000161 0.00050130
1.05102041 0.00000000 0.00000071 0.00048962
1.05510204 0.00000000 0.00000031 0.00047795
1.05918367 0.00000000 0.00000014 0.00046628
1.06326531 0.00000000 0.00000006 0.00045460
1.06734694 0.00000000 0.00000003 0.00044293
1.07142857 0.00000000 0.00000001 0.00043126
1.07551020 0.00000000 0.00000000 0.00041958
1.07959184 0.00000000 0.00000000 0.00040791
1.08367347 0.00000000 0.00000000 0.00039624
1.08775510 0.00000000 0.00000000 0.00038456
1.09183673 0.00000000 0.00000000 0.00037289
1.09591837 0.00000000 0.00000000 0.00036122
1.10000000 0.00000000 0.00000000 0.00034954
