# strike lower_MF mid_MF upper_MF
0.90000000 0.08778817 0.10008605 0.10088999
0.90833333 0.07978619 0.09175272 0.09255666
0.91666667 0.07276588 0.08341940 0.08422332
0.92500000 0.06575542 0.07508607 0.07588999
0.93333333 0.05875487 0.06675275 0.06755666
0.94166667 0.05175432 0.05841944 0.05922332
0.95000000 0.04475377 0.05008624 0.05088999
0.95833333 0.03775322 0.04175398 0.04255666
0.96666667 0.03075267 0.03342842 0.03422332
0.97500000 0.02375212 0.02514379 0.02588999
0.98333333 0.01674955 0.01706269 0.01755666
0.99166667 0.00950864 0.00974663 0.01007383
1.00000000 0.00425090 0.00433107 0.00453479
1.00833333 0.00133720 0.00148684 0.00165048
1.01666667 0.00027560 0.00041708 0.00058787
1.02500000 0.00000000 0.00010146 0.00056404
1.03333333 0.00000000 0.00002223 0.00054021
1.04166667 0.00000000 0.00000453 0.00051637
1.05000000 0.00000000 0.00000087 0.00049254
1.05833333 0.00000000 0.00000016 0.00046871
1.06666667 0.00000000 0.00000003 0.00044488
1.07500000 0.00000000 0.00000001 0.00042104
1.08333333 0.00000000 0.00000000 0.00039721
1.09166667 0.00000000 0.00000000 0.00037338
1.10000000 0.00000000 0.00000000 0.00034954
